,id,track_name,n_citacoes,size_bytes,price,prime_genre
0,1017492454,YouTube Music,176711,114122752,0.0,Music
1,1041465860,Model 15,124208,205972480,29.99,Music
2,669196929,djay 2,68454,119949312,4.99,Music
3,1100636064,Music and Chill,44232,28763136,0.0,Music
4,544119998,Magellan,38340,44860416,2.99,Music
5,1130398188,Addictive Pro,35900,43658240,19.99,Music
6,835217317,DatPiff,30627,88672256,0.0,Music
7,913943275,TIDAL,29940,63882240,0.0,Music
8,1011132019,NOISE,22193,99423232,0.0,Music
9,1037830332,Ringtones for iPhone Unlimited.,12375,48986112,2.99,Music
